transaction_id,customer_id,amount,transaction_date
184,11231,36.99,2023-03-17
185,26709,177.48,2024-05-20
186,38859,197.96,2022-06-17
187,7637,33.41,2023-10-25
188,28520,199.6,2023-09-02
189,37350,109.12,2023-02-14
190,27391,41.61,2023-06-11
191,27421,60.8,2025-02-15
192,20351,199.9,2023-02-10
193,31438,75.4,2023-10-17
194,17983,187.07,2022-08-23
195,14243,91.47,2023-03-02
196,46697,61.14,2024-02-07
197,18456,106.22,2025-01-16
198,30120,38.5,2022-11-23
199,286,114.98,2023-10-06
200,16645,102.35,2024-11-12
201,18552,24.97,2024-10-26
202,39989,30.63,2022-07-27
203,1353,160.16,2022-07-28
204,21374,185.34,2024-06-22
205,12618,83.31,2024-08-27
206,27694,18.95,2022-05-13
207,29623,109.75,2023-01-23
208,10909,41.72,2023-03-26
209,33745,24.28,2024-12-01
210,548,165.9,2023-03-09
211,48501,34.49,2023-06-25
212,22059,38.08,2024-07-05
213,23739,66.32,2023-11-22
214,1254,164.74,2023-03-05
215,19724,159.99,2022-12-20
216,32713,31.54,2022-09-07
217,30899,120.86,2022-10-27
218,42976,129.03,2024-05-13
219,9053,83.19,2022-07-01
220,48287,17.17,2023-12-19
221,24675,151.43,2024-10-24
222,48417,11.6,2023-02-12
223,21767,183.41,2022-10-11
224,36877,185.67,2024-05-10
225,41771,35.96,2024-07-11
226,20629,36.65,2022-06-11
227,44069,79.7,2023-01-07
228,29573,103.37,2024-09-04
229,27426,179.39,2023-01-19
230,4399,174.77,2024-12-24
231,44240,9.66,2023-12-07
232,8308,7.41,2022-10-12
233,21564,118.36,2023-04-30
234,32224,122.94,2022-10-28
235,43633,165.29,2022-08-01
236,21630,159.29,2023-05-25
237,29132,152.68,2023-04-27
238,10421,73.73,2024-07-11
239,20248,65.06,2025-03-01
240,41772,122.78,2024-08-09
241,20024,112.04,2022-05-01
242,27712,65.38,2022-08-21
243,21249,199.52,2025-01-20
244,48918,77.52,2025-01-10
245,9279,76.63,2023-08-02
246,15023,44.32,2022-12-20
247,14395,76.24,2024-07-06
248,27656,93.35,2025-01-15
249,20687,175.01,2024-10-31
250,43710,125.71,2023-03-04
251,9273,43.85,2024-09-19
252,21457,16.74,2024-11-04
253,46040,184.84,2024-02-27
254,4751,147.46,2024-02-14
255,10691,124.61,2024-11-23
256,24876,171.57,2022-05-27
257,18768,18.73,2024-02-05
258,48893,51.21,2023-04-22
259,6140,79.78,2023-09-23
260,17530,7.29,2024-12-08
261,17494,38.59,2023-06-26
262,36585,19.16,2023-05-01
263,36328,173.03,2022-04-04
264,43814,146.15,2024-11-30
265,24353,95.86,2024-07-07
266,4982,144.62,2022-04-22
267,2538,10.65,2024-05-22
268,26955,130.44,2024-02-24
269,14245,108.42,2023-11-13
270,21065,84.83,2022-10-01
271,20072,143.04,2022-08-14
272,34267,190.96,2023-08-09
273,38558,29.23,2022-04-06
274,9937,73.2,2022-08-12
275,45671,56.98,2022-05-11
276,31321,125.91,2022-11-02
277,35749,105.06,2023-02-26
278,8404,181.05,2022-12-26
279,30982,94.81,2023-01-30
280,30220,55.28,2022-04-03
281,317,97.13,2025-01-01
282,17506,48.28,2023-08-13
283,13564,23.52,2024-02-29
284,11086,165.77,2022-11-25
285,32679,71.36,2022-05-06
286,1438,106.56,2024-09-05
287,43432,174.15,2024-04-23
288,41407,140.87,2022-12-30
289,46829,117.51,2024-07-09
290,2994,56.07,2022-05-04
291,2501,24.43,2025-03-08
292,28415,61,2022-09-17
293,43235,50.19,2023-04-10
294,33628,163.02,2023-07-17
295,2418,49.38,2024-07-11
296,20929,44.99,2025-01-20
297,13770,151.45,2023-10-10
298,29259,128.1,2022-04-09
299,32963,118.4,2022-06-16
300,6476,33.72,2023-04-20
301,41016,83.64,2024-09-09
302,45504,80.71,2023-12-07
303,12102,121.43,2024-03-14
304,15801,141.32,2024-12-09
305,24515,27.4,2024-06-27
306,22813,153.32,2023-09-07
307,13619,41.21,2022-10-14
308,25892,156.44,2024-02-26
309,24295,70.92,2024-07-13
310,6045,190.21,2025-01-13
311,30262,37.51,2022-10-30
312,3254,94.51,2022-11-27
313,41094,31.9,2024-02-09
314,15168,63.78,2025-02-05
315,47177,121.06,2025-01-30
316,39014,177.27,2023-09-09
317,6009,178.14,2024-04-12
318,10629,199.84,2024-12-24
319,8701,192.43,2023-01-29
320,37420,20.53,2022-06-15
321,3657,55.31,2022-04-07
322,23353,156.51,2022-11-28
323,17241,108.1,2023-07-20
324,43942,150.93,2024-03-16
325,36441,90.01,2024-05-30
326,45261,182.24,2023-08-02
327,10227,140.72,2023-06-01
328,27745,94.12,2023-03-24
329,26907,171.04,2024-09-25
330,2524,117.9,2023-02-07
331,16574,177.72,2022-11-02
332,7214,48.65,2024-11-18
333,18554,137.76,2024-07-01
334,2286,38.82,2023-09-08
335,5126,94.56,2024-12-24
336,3329,114.32,2022-10-11
337,26556,189.52,2022-08-17
338,22243,169.45,2022-12-27
339,17080,179.42,2022-08-03
340,40486,153.28,2022-05-05
341,31501,83.7,2023-03-23
342,39408,142.19,2024-03-20
343,7240,144.16,2022-07-30
344,37088,54.92,2024-12-07
345,44760,66.87,2022-12-10
346,21797,147.36,2024-08-24
347,26248,72.44,2023-11-14
348,18473,92.89,2022-10-26
349,32864,123.87,2024-11-30
350,40473,42.38,2025-01-01
351,34090,154.12,2023-01-09
352,17173,89.32,2024-02-22
353,16607,14.07,2022-11-11
354,41317,139.96,2024-05-05
355,12160,21.91,2024-11-29
356,41729,52.68,2024-10-26
357,40177,154.29,2023-08-04
358,45981,181.15,2023-04-19
359,10576,124.23,2022-11-15
360,26220,40.22,2023-03-19
361,39446,101.25,2023-02-02
362,3983,76.78,2022-07-14
363,25442,53.04,2023-07-09
364,28244,141.82,2025-01-13
365,35016,101.65,2022-06-06
366,39755,71.88,2024-06-15
367,45942,86.28,2024-06-10
368,17735,139.35,2024-10-04
369,15914,70.83,2022-10-21
370,14106,125.03,2024-01-26
371,20666,94.75,2022-11-04
372,9218,68.76,2022-05-27
373,12404,16.42,2025-02-24
374,17065,175.74,2023-08-01
375,34391,52.11,2023-03-28
376,34090,116.28,2024-11-03
377,25550,65.99,2025-01-14
378,38535,188.23,2023-12-03
379,6947,59.13,2022-12-10
380,33780,102.73,2022-09-01
381,38442,149.24,2023-09-21
382,8899,159.15,2023-05-06
383,41030,82.25,2023-06-21
384,12928,34.62,2022-11-02
385,29045,106.38,2022-06-04
386,31206,108.21,2022-07-23
387,29651,175.21,2023-11-10
388,44055,52.96,2023-03-16
389,26839,167.89,2024-02-10
390,19472,59.02,2022-11-16
391,12186,170.17,2022-08-26
392,14916,43.8,2023-12-02
393,27107,88.79,2023-12-12
394,43274,175.68,2023-12-19
395,38127,132.45,2022-07-21
396,4431,10.43,2023-07-12
397,48707,22.46,2023-09-15
398,33677,104.67,2022-08-02
399,33078,65.23,2023-01-02
400,9832,103.82,2024-10-06
401,43601,134.47,2024-12-27
402,31509,144.86,2023-05-25
403,23403,161.34,2023-10-14
404,14030,148.18,2024-09-25
405,30924,44.97,2024-06-26
406,1195,112.91,2023-03-15
407,3737,164.36,2023-04-11
408,6165,65.25,2023-06-04
409,31565,79.64,2025-01-16
410,19373,94.77,2023-03-11
411,25004,12.31,2022-10-11
412,27580,55.92,2024-04-08
413,37573,83.35,2023-08-16
414,43538,159.61,2022-11-07
415,16715,123.59,2024-09-05
416,16680,172.96,2024-10-10
417,41003,113.87,2024-06-30
418,36123,141.94,2023-01-25
419,44582,161.65,2023-09-12
420,489,101.37,2023-01-29
421,15680,47.97,2024-10-14
422,22610,80.53,2024-08-23
423,43423,28.41,2022-09-03
424,26722,83.73,2023-01-01
425,18290,143.15,2024-12-05
426,37353,160.32,2024-05-10
427,33279,84.76,2022-11-23
428,49754,93.53,2023-07-29
429,35566,49.34,2023-08-20
430,15839,122.71,2025-01-07
431,3810,103.24,2022-09-10
432,43374,192.88,2024-10-22
433,1765,128.98,2023-02-27
434,11975,132.96,2022-05-19
435,18135,19.1,2024-06-11
436,17383,103.65,2024-10-04
437,2243,185.89,2022-07-28
438,1741,52.08,2023-02-16
439,30572,154.69,2024-07-31
440,16127,41.36,2024-07-16
441,20408,144.88,2022-04-19
442,31064,162.98,2022-03-11
443,4388,31.47,2023-05-12
444,11408,185.16,2024-05-20
445,26187,105.38,2025-01-04
446,49524,63.6,2023-06-16
447,4969,173.72,2023-01-23
448,3793,123.92,2025-02-10
449,48488,53.09,2024-02-25
450,35509,134.3,2022-03-15
451,7018,134.28,2023-11-09
452,7674,159.61,2022-12-23
453,38454,79.53,2022-09-11
454,46383,9.77,2024-02-26
455,6754,195.48,2022-12-24
456,13870,188.74,2022-12-26
457,23514,133.59,2022-04-26
458,22708,114.85,2025-02-25
459,39843,140.45,2023-09-29
460,5877,44.16,2022-07-28
461,15139,34.74,2022-10-02
462,31099,163.1,2024-08-06
463,414,38.48,2022-03-12
464,7989,34.26,2023-02-06
465,36191,195.14,2022-06-21
466,41651,168.75,2022-03-20
467,7789,179.77,2023-01-26
468,49039,11.12,2023-03-24
469,43271,157.89,2023-10-21
470,45647,168.92,2024-09-17
471,27651,157.84,2022-09-02
472,40760,63.87,2025-01-11
473,45453,53.62,2024-06-21
474,5634,11.25,2024-03-02
475,8672,184.66,2022-04-24
476,38958,190.36,2024-08-08
477,1725,124.4,2024-08-08
478,22005,59.42,2023-04-18
479,14480,66.99,2025-01-01
480,37590,58.11,2023-07-09
481,17117,42.11,2024-07-13
482,40424,153.32,2023-09-23
483,21444,128.43,2024-01-21
484,28108,133.1,2024-08-21
485,47620,99.41,2022-04-28
486,12269,45.7,2024-04-03
487,36010,94.83,2023-03-22
488,46533,120.92,2023-10-05
489,33912,191.26,2024-11-13
490,17840,114.34,2024-02-28
491,12038,37.87,2025-03-04
492,38491,189.74,2024-02-01
493,4503,177.05,2023-09-18
494,8108,174.59,2023-03-17
495,474,38.04,2022-12-03
496,48068,31.62,2023-04-03
497,18634,48.05,2024-06-08
498,32564,102.69,2024-12-13
499,32030,73.79,2024-09-10
500,35215,105.37,2022-07-04
501,36174,96.68,2024-12-09
502,39492,114.53,2024-04-15
503,22489,101.54,2024-09-16
504,42908,171.47,2023-06-03
505,5935,126.14,2025-02-26
506,4807,45.43,2022-07-11
507,21524,83.95,2023-12-21
508,13730,46.78,2022-07-09
509,10199,33.15,2023-12-10
510,6056,162.14,2022-08-22
511,24032,25.82,2022-10-19
512,16736,67.01,2023-07-14
513,36971,33.06,2023-09-27
514,26047,194.17,2023-06-24
515,27248,24.06,2022-10-17
516,24500,101.25,2024-04-15
517,11051,26.99,2025-01-05
518,18509,191.31,2025-02-09
519,13384,20.01,2023-08-10
520,18029,87.7,2023-09-11
521,39765,191.7,2024-11-10
522,42025,109.12,2025-01-12
523,47952,131.29,2024-04-10
524,36568,70.71,2024-02-15
525,12728,29.45,2022-10-27
526,19758,62.28,2023-03-15
527,34517,77.32,2022-06-26
528,18036,172.87,2024-02-23
529,15619,41.04,2023-10-30
530,46548,20.13,2024-06-22
531,4213,54.58,2022-08-28
532,3476,97.19,2023-05-04
533,41818,149.28,2023-12-31
534,10206,187.06,2022-07-25
535,40987,193.63,2022-07-20
536,33792,113.83,2023-06-21
537,28660,45.43,2024-07-16
538,44577,52.61,2024-10-28
539,37802,58.87,2023-10-03
540,39073,171.43,2022-03-15
541,21913,177.79,2023-08-04
542,30506,61.06,2023-01-24
543,27297,8.2,2023-11-14
544,20808,63.07,2023-08-12
545,24088,90.88,2023-12-06
546,41529,10.94,2023-05-12
547,29411,139.93,2024-09-03
548,11791,119.42,2022-07-27
549,26258,10.83,2023-02-28
550,11542,160.7,2022-03-17
551,18751,40.58,2023-02-02
552,46034,67.21,2023-05-29
553,5527,46.74,2023-02-24
554,4258,131.61,2024-04-19
555,41700,93.35,2024-08-05
556,22317,93.17,2024-02-14
557,15889,67.55,2023-12-17
558,49137,70,2023-05-24
559,32367,136.55,2024-03-25
560,37629,38.79,2023-06-10
561,14873,117.55,2022-04-23
562,490,181.56,2024-11-14
563,3963,79.69,2024-07-04
564,10442,160.06,2024-07-07
565,10005,90.43,2023-01-08
566,47739,45.39,2022-10-11
567,24754,182.6,2024-01-07
568,37118,15.41,2025-02-06
569,11698,128.48,2024-08-28
570,36474,101.37,2022-06-05
571,9760,55.84,2023-11-19
572,4033,120.23,2025-01-06
573,49045,41.26,2023-12-30
574,9096,147.01,2024-11-07
575,46067,115.09,2024-02-16
576,43103,103.25,2022-06-15
577,31009,38.21,2022-07-06
578,23594,73.37,2022-05-03
579,44883,18.38,2024-08-06
580,15842,71.71,2023-04-02
581,13922,77.61,2023-01-07
582,17924,103.79,2023-11-13
583,20451,175.83,2022-06-29
584,22913,28.01,2024-02-29
585,12967,95.27,2025-03-06
586,2729,171.47,2024-01-02
587,29965,136.46,2022-06-12
588,9933,150.48,2023-02-11
589,32837,148.28,2023-05-20
590,10233,28.23,2022-08-19
591,27625,190.01,2024-04-29
592,41267,45.65,2023-06-19
593,21829,13.43,2023-01-27
594,30672,65.33,2022-10-19
595,37989,106.54,2023-09-05
596,28652,132.63,2023-10-20
597,30875,25.57,2023-09-17
598,47907,172.17,2024-04-28
599,28766,54.76,2025-01-03
600,27622,135.08,2023-08-23
601,21916,67.09,2023-11-13
602,27898,175.83,2024-02-09
603,16536,158.09,2022-06-24
604,45046,68.34,2023-01-23
605,16372,198.65,2025-02-21
606,17200,196.03,2023-02-22
607,47213,199.25,2022-12-20
608,4834,72.1,2023-07-13
609,4916,15.87,2024-01-07
610,22588,70.36,2023-02-27
611,44521,197.71,2024-10-10
612,17533,122.61,2025-01-12
613,22519,79.02,2023-06-12
614,36998,54.69,2024-04-27
615,33633,188.4,2024-12-29
616,20879,145.62,2023-03-18
617,33335,47.8,2024-07-09
618,47954,171.31,2024-12-22
619,40140,73.05,2024-12-08
620,7544,170.28,2022-06-25
621,27320,103.9,2022-09-06
622,16510,43.03,2023-11-07
623,35149,104.8,2024-01-29
624,37595,68.52,2022-07-31
625,2234,58.25,2023-08-23
626,34871,52.45,2023-11-01
627,40139,83.25,2024-03-12
628,10674,87.22,2023-07-13
629,31752,120.33,2024-10-20
630,329,10.1,2024-08-18
631,15203,11.25,2024-06-17
632,47668,131.05,2024-11-15
633,11444,118.05,2022-04-27
634,12432,70,2023-12-24
635,48479,135.58,2023-07-09
636,49789,182.79,2023-02-28
637,47245,163.22,2022-08-16
638,23297,121.8,2023-04-30
639,6322,164.39,2022-07-02
640,23127,63.29,2024-05-24
641,33442,167.34,2022-04-19
642,46821,32.3,2025-01-13
643,19508,115.85,2022-06-17
644,5112,160.64,2023-05-05
645,24267,25.05,2023-05-04
646,24021,75.28,2022-05-02
647,8745,138.03,2023-06-28
648,33478,49.73,2023-09-11
649,32697,74.54,2024-02-17
650,28505,10.57,2023-05-20
651,34480,90.95,2024-07-07
652,47480,137.89,2022-06-24
653,8714,177.41,2022-05-11
654,37487,107.16,2022-06-22
655,34050,56.88,2022-05-10
656,33367,165.24,2024-09-21
657,46269,71.49,2022-08-02
658,20422,84.96,2024-04-17
659,37663,90.64,2024-06-18
660,16562,171.76,2023-09-07
661,19097,105.88,2024-08-26
662,22250,129.95,2025-02-19
663,40568,123.52,2025-01-11
664,19079,148.74,2024-04-12
665,9338,130.32,2023-07-01
666,30014,40.13,2022-03-13
667,2212,110.48,2022-07-11
668,33603,31.88,2023-04-17
669,3485,85.81,2023-07-14
670,48399,163.65,2024-10-04
671,36162,189.66,2023-03-26
672,41252,55.48,2023-08-21
673,24468,49.71,2024-08-14
674,48208,199.05,2023-09-06
675,33958,60.23,2024-01-16
676,3433,173.16,2022-09-19
677,12648,55.97,2022-06-14
678,31439,81.56,2025-01-02
679,375,129.32,2024-10-09
680,16507,115.18,2022-03-22
681,31066,11.19,2024-03-17
682,26901,192.96,2024-01-12
683,11093,116.63,2022-08-16
684,21654,97.31,2022-09-19
685,27340,29.13,2025-01-22
686,17813,144.25,2024-07-11
687,10621,190.43,2023-04-23
688,17804,110.57,2023-02-12
689,33284,79.49,2024-08-12
690,6582,190.96,2024-10-21
691,33685,23.01,2023-12-28
692,23237,57.18,2022-03-14
693,6230,101.52,2024-12-15
694,18702,45.28,2023-09-20
695,35049,170.76,2023-04-28
696,47389,101.81,2022-05-25
697,39318,178.64,2023-07-27
698,33348,162.06,2022-10-20
699,14292,51.08,2025-02-26
700,41385,18.4,2023-03-16
701,26906,12.1,2024-12-18
702,34375,168.65,2025-02-26
703,39069,142.58,2023-04-15
704,44576,173.14,2022-08-30
705,27409,131.59,2022-04-01
706,9685,65.32,2023-10-01
707,8742,32.41,2024-02-20
708,42106,40.96,2023-12-19
709,45728,39,2025-01-14
710,4264,144.92,2024-05-12
711,48458,135.67,2022-04-15
712,14132,176.46,2023-10-14
713,45268,195.92,2024-08-11
714,946,125.56,2024-03-21
715,7705,133.98,2022-11-24
716,3728,121.97,2022-11-24
717,6998,118.03,2022-07-20
718,14043,104.04,2024-08-22
719,21786,32.18,2022-12-12
720,49010,187.18,2023-03-12
721,47166,175.22,2023-11-01
722,20957,34.68,2022-11-20
723,34391,24.56,2022-11-06
724,35539,20.63,2023-04-07
725,11841,150.37,2024-11-13
726,22494,160.21,2023-11-19
727,33054,194.12,2023-02-09
728,38199,67.57,2024-09-20
729,22442,195.38,2023-11-05
730,7710,23.97,2022-04-14
731,15956,95.79,2024-12-23
732,22263,26.13,2023-02-24
733,33508,107.02,2023-01-24
734,9534,152.46,2022-04-29
735,22753,122.35,2024-06-25
736,38958,72.25,2022-08-14
737,4024,6.47,2024-03-09
738,28624,193.19,2024-10-24
739,24900,43.66,2023-09-06
740,42354,12.43,2023-07-24
741,9727,134.95,2024-03-26
742,16437,75.34,2023-06-10
743,31796,29,2022-08-31
744,38153,142.06,2022-07-29
745,21138,74.29,2023-08-16
746,43079,189.25,2024-09-23
747,24889,40.33,2024-08-27
748,33801,161.56,2022-06-23
749,42222,140.14,2023-10-10
750,25992,12.72,2022-07-11
751,39095,10.84,2023-10-15
752,7827,187.67,2023-06-05
753,44754,7.52,2024-05-02
754,32286,26.69,2024-07-13
755,3704,60.44,2024-04-29
756,30648,183.72,2024-03-21
757,4072,186.13,2024-05-02
758,27419,39.3,2023-07-23
759,18415,108.65,2023-06-08
760,26548,67.65,2022-08-04
761,39606,23.16,2025-01-25
762,7941,178.36,2022-03-18
763,29630,14.68,2024-06-12
764,20529,108.78,2024-10-25
765,1770,67.35,2022-10-15
766,25920,153.84,2024-02-04
767,26970,36.43,2023-03-12
768,26856,180.59,2024-03-14
769,28,80.49,2025-01-15
770,863,33.02,2024-02-10
771,18380,140.88,2025-01-18
772,14362,96.45,2022-12-04
773,10934,128.39,2025-01-03
774,49711,137.05,2024-07-13
775,6347,7.65,2024-08-31
776,47413,130.75,2024-05-07
777,26091,169.34,2024-11-12
778,29209,80.99,2022-11-21
779,39482,147.95,2023-01-29
780,15880,8.19,2024-05-02
781,21724,50.16,2022-07-27
782,41904,165.94,2023-06-18
783,5459,101.33,2025-02-19
784,18098,14.21,2022-03-17
785,36868,187.79,2025-02-19
786,46136,156.84,2022-10-19
787,17331,88.53,2024-01-20
788,35005,103.82,2025-01-11
789,5335,130.73,2025-02-08
790,9660,99.44,2023-12-18
791,21173,13.37,2022-06-01
792,36130,10.68,2024-07-03
793,20409,110,2025-01-31
794,23920,195.88,2022-09-06
795,43351,15.76,2024-04-06
796,48487,122.56,2022-04-16
797,23670,107.96,2022-05-30
798,5327,92.13,2022-10-15
799,16871,116.41,2025-03-06
800,10192,171.19,2025-03-06
801,23270,145.49,2024-12-06
802,9976,80.81,2024-05-01
803,15821,108.88,2024-02-24
804,36154,94.96,2023-06-01
805,20434,140.87,2024-02-20
806,41701,67.16,2023-10-17
807,29818,86.96,2022-09-03
808,7445,84.27,2022-03-10
809,37316,131.46,2022-10-07
810,6004,112.9,2024-08-22
811,3979,32.84,2024-01-23
812,11573,48.76,2024-03-04
813,41772,179.6,2023-08-12
814,4627,80.25,2022-04-18
815,37025,67.21,2022-08-15
816,3663,176.18,2025-01-23
817,7462,84.9,2023-10-31
818,45282,117.4,2024-04-09
819,34626,48.14,2022-09-24
820,4057,84.24,2024-03-22
821,9351,34.03,2024-03-28
822,5199,88.01,2023-10-15
823,22781,151.09,2022-06-17
824,848,180.42,2024-06-27
825,36123,70.22,2023-10-23
826,8392,128.18,2024-12-05
827,17409,156.02,2022-10-29
828,44871,87.76,2022-08-01
829,12023,101.13,2024-10-31
830,24822,129.35,2023-06-21
831,40767,78.47,2023-04-11
832,42301,120.15,2022-03-21
833,10802,193.82,2024-01-09
834,7814,62.33,2022-06-27
835,10386,6.66,2024-02-03
836,44638,148.95,2025-02-16
837,39469,30.1,2025-03-07
838,24712,123.82,2024-01-26
839,39202,179.29,2022-09-26
840,37385,63.41,2024-10-26
841,18016,132.06,2022-12-28
842,1499,169.34,2025-01-29
843,36567,80.61,2022-09-22
844,27061,146.76,2024-09-14
845,19610,150.36,2024-07-09
846,25274,52.13,2024-07-21
847,37150,13.07,2023-04-25
848,17139,170.33,2024-08-22
849,13484,103.95,2024-11-11
850,35039,53.29,2024-07-26
851,23730,139.32,2024-04-07
852,14491,43.41,2024-09-19
853,22533,176.54,2022-05-07
854,6892,7.37,2022-05-20
855,17193,73.44,2024-10-16
856,45284,101.75,2022-11-28
857,7254,28.33,2024-10-19
858,29438,167.96,2023-12-26
859,48097,141.18,2025-02-24
860,20814,193.26,2023-08-07
861,11265,68.79,2024-05-24
862,46561,21.78,2023-10-06
863,32040,103.7,2022-12-29
864,34518,136.67,2024-07-11
865,41180,155.39,2024-02-22
866,24929,38.6,2022-04-17
867,19069,139.15,2024-05-14
868,25958,7.61,2024-08-31
869,7958,118.54,2024-04-20
870,16323,104.5,2023-08-06
871,36839,197.48,2025-01-01
872,8017,70.65,2022-06-30
873,4012,177.7,2022-09-05
874,1718,52.62,2022-07-20
