subscription_id,customer_id,plan_type,start_date,end_date,status
129,22272,Standard,2024-06-27,2025-08-21,Active
130,6998,Standard,2023-03-19,2025-05-24,Active
131,5703,Premium,2023-01-03,2027-02-22,Active
132,18262,Basic,2024-05-12,2026-07-31,Canceled
133,36245,Basic,2023-07-24,2025-06-04,Active
134,42631,Standard,2023-04-08,2026-10-24,Canceled
135,30945,Basic,2024-11-16,2026-01-20,Canceled
136,21234,Basic,2024-03-21,2026-01-10,Active
137,10199,Premium,2022-09-25,2025-09-23,Active
138,35940,Standard,2024-07-19,,Canceled
139,28220,Basic,2023-02-22,,Canceled
140,22655,Basic,2023-12-24,2026-12-15,Active
141,25927,Standard,2024-07-27,2025-08-04,Active
142,38355,Premium,2023-05-10,2026-07-25,Canceled
143,6972,Standard,2023-08-28,2027-01-07,Active
144,4526,Basic,2022-07-27,,Active
145,6884,Standard,2022-05-13,2025-03-12,Canceled
146,4180,Basic,2022-04-28,2026-08-20,Canceled
147,38081,Standard,2024-02-13,,Canceled
148,14890,Premium,2022-09-28,2026-11-07,Active
149,27593,Basic,2023-05-03,2026-09-27,Active
150,22306,Basic,2022-05-28,2026-03-25,Active
151,11584,Basic,2024-10-03,2025-09-16,Canceled
152,48260,Basic,2024-06-16,2026-09-12,Active
153,27599,Basic,2023-04-06,,Active
154,13939,Basic,2023-01-18,,Canceled
155,15522,Basic,2022-08-22,2025-07-03,Canceled
156,12975,Standard,2023-02-24,,Active
157,39584,Basic,2024-07-28,2026-07-18,Active
158,13865,Standard,2022-09-15,2025-11-04,Active
159,17590,Standard,2023-01-02,2025-04-12,Active
160,5750,Basic,2023-04-16,2026-06-16,Active
161,10661,Standard,2023-10-29,,Canceled
162,11073,Premium,2024-11-05,2026-11-19,Active
163,30598,Basic,2023-11-16,2025-06-27,Active
164,20836,Basic,2023-11-01,2026-03-22,Active
165,28526,Standard,2023-11-01,2026-07-10,Active
166,13196,Basic,2023-12-06,2025-07-17,Canceled
167,39700,Premium,2022-12-16,2026-03-14,Canceled
168,1129,Premium,2024-01-22,,Active
169,1344,Standard,2023-02-26,2026-02-14,Canceled
170,21001,Basic,2024-02-01,2026-07-24,Active
171,38518,Standard,2022-07-22,2026-04-13,Active
172,3218,Basic,2023-03-01,2027-01-18,Canceled
173,43240,Basic,2023-04-04,2026-01-27,Active
174,42626,Premium,2022-05-21,2025-08-16,Active
175,7175,Premium,2024-05-07,,Active
176,29757,Standard,2022-10-14,,Canceled
177,6993,Basic,2022-08-07,,Canceled
178,48137,Standard,2023-07-23,,Active
179,14924,Premium,2022-09-22,,Active
180,41756,Basic,2022-06-03,,Canceled
181,8667,Basic,2023-04-29,2026-12-17,Canceled
182,41969,Premium,2022-04-04,2025-11-03,Active
183,36144,Basic,2023-12-17,,Active
184,31243,Basic,2024-08-09,,Active
185,38654,Standard,2024-08-20,2026-04-23,Active
186,40170,Standard,2024-01-06,2027-02-01,Canceled
187,1293,Standard,2023-03-08,2025-05-10,Canceled
188,44915,Basic,2022-11-26,,Canceled
189,4306,Basic,2022-10-15,,Active
190,44562,Basic,2023-01-13,,Active
191,6845,Basic,2023-11-23,2025-12-05,Active
192,47743,Basic,2023-01-21,2025-05-30,Active
193,6620,Basic,2024-10-20,2025-07-16,Active
194,21679,Standard,2022-06-08,2025-08-09,Active
195,2056,Premium,2025-02-06,2026-01-27,Canceled
196,37879,Standard,2022-06-21,2025-05-12,Active
197,38574,Standard,2023-07-23,2026-06-24,Canceled
198,27509,Basic,2023-04-19,2026-08-15,Active
199,46553,Basic,2022-08-06,2026-03-14,Active
200,6746,Basic,2023-08-06,,Active
201,42398,Basic,2023-04-30,2025-11-24,Canceled
202,245,Basic,2024-08-27,,Active
203,38884,Standard,2022-05-28,,Active
204,23242,Basic,2023-01-20,2025-06-07,Active
205,46904,Premium,2025-03-07,2025-08-02,Active
206,17174,Standard,2025-02-01,2025-08-10,Active
207,24892,Basic,2022-03-14,2025-06-05,Active
208,22539,Basic,2024-11-20,2025-10-09,Active
209,49041,Basic,2024-02-27,2026-01-27,Active
210,16502,Standard,2024-11-28,2026-05-10,Active
211,6917,Standard,2022-06-15,2026-11-23,Active
212,28316,Standard,2024-12-26,2026-08-08,Active
213,19980,Premium,2025-01-31,2025-11-29,Active
214,22793,Basic,2024-05-07,,Active
215,37304,Standard,2023-09-20,2027-01-15,Active
216,35673,Basic,2024-04-06,2025-11-13,Active
217,12095,Premium,2024-12-25,2026-01-23,Active
218,19101,Standard,2024-09-14,2027-01-06,Active
219,27490,Basic,2023-12-15,2025-06-17,Active
220,6097,Basic,2024-05-31,2025-06-28,Active
221,39090,Basic,2024-09-15,2026-01-01,Active
222,14132,Basic,2022-08-28,2026-07-14,Active
223,3016,Basic,2022-03-24,2025-11-10,Active
224,5277,Basic,2022-06-05,,Active
225,20142,Standard,2023-11-13,2025-05-11,Canceled
226,35822,Premium,2022-09-08,2025-09-14,Canceled
227,14931,Standard,2023-02-15,,Active
228,2860,Basic,2024-01-15,2026-04-23,Active
229,13922,Basic,2022-04-29,2026-03-30,Active
230,45924,Standard,2024-04-28,2026-02-08,Active
231,38155,Basic,2023-11-09,,Active
232,2129,Standard,2024-05-29,,Active
233,20404,Basic,2023-01-22,,Active
234,47647,Standard,2022-11-11,,Active
235,9304,Basic,2023-05-27,,Active
236,35768,Basic,2023-02-16,2025-09-26,Active
237,12586,Standard,2024-10-29,2025-04-23,Canceled
238,34930,Standard,2024-10-28,2025-09-21,Active
239,4365,Basic,2024-11-15,2025-04-23,Canceled
240,14498,Basic,2023-04-02,2027-01-05,Active
241,27036,Basic,2024-04-10,,Canceled
242,19149,Basic,2022-03-30,2026-05-02,Active
243,42083,Standard,2024-09-25,2025-12-14,Active
244,31603,Basic,2024-03-14,2025-10-03,Active
245,23093,Standard,2024-01-17,2025-12-24,Canceled
246,35670,Basic,2023-08-16,2026-04-21,Active
247,41266,Standard,2023-10-10,,Active
248,7432,Basic,2022-07-20,2025-11-10,Active
249,47395,Basic,2023-10-09,,Canceled
250,10705,Basic,2024-07-03,2025-03-11,Canceled
251,28742,Basic,2022-07-20,2026-11-30,Active
252,905,Basic,2024-12-03,2026-08-01,Active
253,38591,Basic,2024-11-04,2026-08-22,Active
254,5173,Basic,2023-03-22,,Active
255,47923,Standard,2023-09-27,2026-05-16,Canceled
256,29868,Standard,2024-12-01,,Active
257,1228,Standard,2023-04-13,2026-04-02,Canceled
258,7893,Basic,2022-10-11,,Canceled
259,36073,Standard,2024-03-26,2027-03-04,Canceled
260,36696,Basic,2024-02-20,2025-07-11,Canceled
261,28062,Standard,2024-09-11,2026-04-15,Active
262,5723,Premium,2024-01-23,,Active
263,15217,Standard,2023-11-01,2025-10-13,Active
264,26327,Premium,2022-08-16,,Active
265,14176,Basic,2023-07-06,,Canceled
266,16036,Basic,2022-06-20,,Active
267,38254,Basic,2023-01-09,2026-08-24,Active
268,48194,Premium,2022-11-20,2025-03-20,Canceled
269,27733,Standard,2022-07-20,2025-07-25,Active
270,31771,Basic,2024-05-02,2025-09-18,Active
271,38546,Basic,2022-11-17,2025-08-05,Active
272,18981,Basic,2024-02-10,,Active
273,25636,Basic,2023-06-10,,Canceled
274,31804,Standard,2024-05-04,2027-01-02,Canceled
275,46849,Basic,2023-02-03,2026-08-13,Active
276,15403,Basic,2024-12-16,2026-02-26,Active
277,30155,Premium,2024-06-22,2025-06-23,Active
278,25450,Basic,2024-12-04,,Active
279,42521,Basic,2024-06-12,2025-09-30,Active
280,21043,Premium,2022-12-23,2026-10-11,Active
281,33439,Basic,2023-12-20,,Active
282,16490,Basic,2024-07-17,2026-07-13,Active
283,30007,Premium,2023-03-05,2025-07-17,Active
284,23358,Basic,2022-07-09,2025-05-13,Active
285,39014,Premium,2023-02-05,2026-06-21,Active
286,15084,Standard,2023-09-20,,Active
287,28935,Basic,2023-07-05,2026-08-20,Active
288,26870,Standard,2024-10-16,2026-08-23,Active
289,97,Standard,2023-04-05,,Canceled
290,40964,Basic,2024-12-23,2026-04-19,Active
291,33927,Standard,2022-12-19,,Active
292,14403,Basic,2022-11-03,2026-02-13,Active
293,16704,Standard,2024-05-11,2025-11-11,Active
294,45709,Basic,2022-12-02,,Canceled
295,40598,Standard,2022-10-27,2026-06-02,Active
296,17004,Basic,2024-08-07,2026-01-09,Active
297,14291,Premium,2022-10-24,2026-11-06,Active
298,37185,Standard,2024-05-21,2025-06-25,Active
299,32923,Standard,2022-05-13,,Active
300,22490,Basic,2024-05-08,2025-06-21,Active
301,5742,Standard,2022-04-05,,Active
302,24966,Basic,2023-12-18,2026-06-14,Canceled
303,12181,Standard,2023-12-11,2026-06-20,Active
304,38440,Basic,2024-06-22,,Active
305,19571,Basic,2025-01-11,2025-05-05,Canceled
306,9722,Basic,2023-10-23,2026-05-30,Canceled
307,43253,Standard,2022-06-30,2025-11-21,Active
308,20617,Standard,2022-10-25,2026-01-21,Active
309,11470,Standard,2024-12-31,2027-02-07,Active
310,13720,Standard,2022-08-26,2026-10-08,Canceled
311,7844,Premium,2024-10-24,2025-11-07,Active
312,27041,Standard,2024-03-17,,Active
313,15408,Basic,2023-09-07,2027-01-02,Canceled
314,47271,Standard,2022-05-13,2025-04-01,Canceled
315,9306,Premium,2025-02-01,,Active
316,19529,Basic,2024-12-27,2025-12-14,Canceled
317,11680,Standard,2023-08-26,2025-08-13,Active
318,3236,Standard,2024-10-06,2025-04-13,Active
319,46622,Premium,2022-07-01,2026-07-13,Canceled
320,16996,Basic,2023-08-17,2025-04-18,Canceled
321,25575,Basic,2024-06-24,,Active
322,28511,Standard,2023-06-22,2025-06-22,Canceled
323,4140,Basic,2022-10-25,,Active
324,10533,Standard,2022-12-15,2025-07-20,Canceled
325,10741,Premium,2023-12-24,2026-02-02,Active
326,22345,Premium,2023-11-30,,Active
327,20583,Basic,2024-03-19,2026-02-25,Active
328,5893,Basic,2022-09-28,2026-03-30,Active
329,4690,Basic,2022-05-31,2025-07-14,Canceled
330,3624,Basic,2023-06-25,2025-05-15,Canceled
331,46078,Standard,2022-06-25,,Active
332,27825,Basic,2024-06-02,2026-08-12,Active
333,34696,Standard,2022-03-19,2025-07-26,Active
334,49802,Basic,2024-05-29,2026-04-21,Active
335,6601,Basic,2023-11-22,2025-04-07,Active
336,18459,Basic,2022-07-20,,Active
337,4702,Premium,2023-06-03,2025-04-14,Active
338,42799,Premium,2023-03-27,2027-01-28,Canceled
339,44460,Premium,2022-10-27,,Active
340,11169,Basic,2023-01-18,,Active
341,32048,Standard,2023-06-20,2026-04-30,Active
342,11581,Basic,2024-01-09,2026-01-02,Active
343,28135,Premium,2023-11-16,2025-10-15,Active
344,28526,Basic,2024-05-18,2026-11-09,Active
345,16563,Standard,2022-11-29,,Canceled
346,560,Basic,2023-09-27,2026-03-07,Active
347,12996,Basic,2022-08-30,2027-03-03,Active
348,14252,Basic,2022-11-01,,Canceled
349,38316,Basic,2022-06-08,2025-06-29,Canceled
350,30163,Basic,2023-03-29,2026-04-10,Canceled
351,36029,Premium,2024-10-19,,Active
352,12681,Basic,2023-02-03,2025-03-29,Active
353,25923,Basic,2023-03-09,2025-07-27,Canceled
354,25461,Standard,2023-06-15,2026-08-28,Canceled
355,2980,Standard,2024-04-22,2026-07-26,Canceled
356,40801,Basic,2024-01-02,2025-10-04,Active
357,38438,Standard,2022-11-18,2025-12-15,Canceled
358,714,Standard,2023-07-18,2025-08-14,Active
359,22442,Basic,2022-10-02,,Active
360,22042,Standard,2024-01-25,,Active
361,20656,Basic,2022-10-22,2025-03-30,Active
362,1138,Basic,2024-07-12,2027-02-13,Active
363,27195,Basic,2022-11-09,2026-06-13,Active
364,8142,Standard,2024-04-28,2026-09-18,Canceled
365,11505,Standard,2024-01-21,2026-06-28,Canceled
366,1509,Premium,2022-11-18,,Active
367,34013,Basic,2023-06-30,2026-11-17,Active
368,20313,Standard,2023-08-07,2025-06-28,Active
369,47858,Basic,2024-05-07,2025-06-10,Active
370,31356,Basic,2023-01-20,2027-02-02,Canceled
371,40205,Basic,2024-03-06,,Canceled
372,40225,Premium,2024-07-17,2026-08-24,Active
373,16538,Standard,2024-07-05,2026-05-31,Active
374,33126,Premium,2024-10-09,2026-03-18,Active
375,44071,Basic,2023-11-17,2026-07-05,Canceled
376,13801,Premium,2023-01-20,2027-01-29,Active
377,44942,Basic,2022-05-11,2025-03-19,Canceled
378,3619,Standard,2024-01-13,2026-10-23,Canceled
379,39849,Standard,2024-10-23,2025-07-06,Active
380,158,Standard,2022-10-22,2026-07-28,Active
381,13458,Basic,2022-09-02,2026-08-26,Canceled
382,33588,Basic,2025-01-27,2026-01-25,Active
383,1079,Basic,2023-11-06,2026-09-26,Active
384,19657,Basic,2023-06-26,2026-04-22,Canceled
385,38431,Premium,2024-10-13,2026-07-05,Active
386,4687,Basic,2023-06-25,,Canceled
387,23756,Standard,2023-12-08,2026-10-26,Canceled
388,33370,Basic,2022-09-28,2026-05-15,Active
389,3982,Basic,2023-08-08,2026-10-24,Active
390,31568,Basic,2023-02-05,,Canceled
391,3335,Standard,2022-04-10,2026-09-11,Active
392,3625,Basic,2025-01-03,2025-10-20,Canceled
393,15729,Basic,2022-05-08,,Active
394,29367,Standard,2024-03-24,2026-10-14,Active
395,11307,Standard,2022-10-30,2025-05-20,Active
396,30524,Basic,2023-03-31,2025-07-06,Canceled
397,42066,Standard,2024-12-31,,Canceled
398,44933,Standard,2023-02-24,,Active
399,5755,Basic,2024-07-29,2025-05-25,Canceled
400,21807,Standard,2024-12-24,2026-04-13,Canceled
401,27014,Basic,2024-05-19,2026-12-18,Active
402,44445,Basic,2023-02-14,,Active
403,10123,Basic,2024-04-22,,Canceled
404,22548,Standard,2022-12-07,,Active
405,20681,Premium,2023-09-26,2026-04-20,Active
406,42385,Standard,2024-04-10,2025-05-05,Active
407,36830,Premium,2024-01-28,,Active
408,24063,Basic,2022-10-28,2026-03-26,Active
409,48321,Basic,2023-05-13,2025-06-24,Canceled
410,1767,Standard,2022-11-20,2026-12-27,Canceled
411,42122,Standard,2023-02-26,2026-01-07,Active
412,25821,Basic,2023-08-12,,Canceled
413,38244,Basic,2024-01-23,2026-12-08,Canceled
414,29932,Basic,2023-05-21,2027-02-25,Active
415,38510,Basic,2023-06-11,,Canceled
416,21353,Basic,2024-10-31,2026-12-01,Canceled
417,38970,Basic,2023-02-24,2025-10-02,Canceled
418,28295,Standard,2023-09-17,,Active
419,33511,Standard,2023-07-02,2026-12-28,Active
420,4166,Standard,2025-02-20,2026-08-18,Canceled
421,19859,Basic,2022-05-31,,Active
422,24890,Standard,2025-01-07,2026-02-02,Active
423,37896,Basic,2024-03-27,2026-11-29,Active
424,47927,Premium,2025-02-08,2025-07-11,Active
425,18169,Standard,2022-05-17,2026-02-05,Active
426,43569,Basic,2022-06-18,,Canceled
427,32319,Basic,2022-11-21,2025-10-22,Canceled
428,26661,Basic,2023-09-16,2026-11-20,Active
429,1409,Standard,2023-01-18,,Active
430,34927,Standard,2024-12-04,2026-09-20,Active
431,31253,Basic,2024-08-30,,Active
432,39993,Basic,2023-12-26,,Active
433,42644,Basic,2023-11-07,,Active
434,47291,Standard,2024-10-12,2025-03-10,Canceled
435,38044,Premium,2022-04-15,2025-05-21,Active
436,43353,Basic,2022-10-28,2025-04-19,Canceled
437,2084,Standard,2023-06-24,,Active
438,38534,Premium,2022-12-16,2026-04-21,Canceled
439,30655,Premium,2023-01-09,2025-05-29,Active
440,38604,Premium,2023-02-19,2026-04-26,Canceled
441,18802,Standard,2023-10-10,2025-08-31,Active
442,39325,Basic,2022-10-31,,Active
443,48789,Basic,2024-05-08,2026-08-29,Active
444,17734,Premium,2024-06-14,,Canceled
445,6834,Standard,2024-11-26,2025-05-14,Active
446,23045,Standard,2022-10-20,2025-10-31,Active
447,34442,Standard,2022-12-15,2026-03-12,Active
448,42984,Basic,2024-01-15,2025-09-10,Canceled
449,18095,Standard,2024-01-17,2026-07-13,Active
450,20894,Basic,2024-04-24,2025-05-06,Active
451,35340,Basic,2024-08-10,2026-09-25,Active
452,48819,Standard,2023-03-07,2025-10-21,Active
453,40140,Basic,2023-02-28,,Active
454,19906,Basic,2022-11-09,,Active
455,19558,Standard,2024-10-24,2025-08-11,Active
456,28015,Basic,2024-08-24,2025-06-30,Active
457,41354,Standard,2022-06-18,2026-01-01,Active
458,25369,Basic,2023-07-27,2026-02-15,Active
459,421,Standard,2025-01-27,2026-05-27,Active
460,7103,Basic,2022-05-01,2026-01-01,Active
461,15068,Basic,2022-08-12,2027-01-29,Active
462,17077,Basic,2024-08-12,2026-10-19,Active
463,24283,Basic,2023-12-05,2025-03-16,Active
464,28760,Premium,2022-10-02,2026-05-15,Active
465,18915,Basic,2023-07-09,2027-01-22,Active
466,25628,Basic,2022-10-13,,Active
467,34137,Standard,2024-01-23,,Active
468,35981,Basic,2024-02-09,2025-05-07,Active
469,32597,Standard,2023-12-15,,Active
470,11437,Basic,2023-05-09,2026-01-12,Active
471,45628,Standard,2024-05-14,2026-03-11,Active
472,22624,Premium,2023-08-11,,Active
473,1316,Basic,2022-06-27,,Canceled
474,34834,Basic,2025-02-08,,Canceled
475,30922,Basic,2022-07-03,2026-04-20,Active
476,8291,Basic,2022-05-08,2026-05-01,Canceled
477,34515,Basic,2023-08-17,,Canceled
478,11127,Premium,2024-04-28,,Active
479,12895,Premium,2024-04-08,2026-06-04,Canceled
480,49733,Basic,2024-04-06,,Active
481,30319,Basic,2022-05-03,,Active
482,9037,Standard,2023-06-23,2026-06-12,Canceled
483,15955,Standard,2023-12-25,2026-03-02,Active
484,37857,Premium,2024-10-29,,Active
485,26916,Premium,2024-02-21,2026-06-24,Canceled
486,42181,Standard,2023-05-07,,Active
487,17851,Premium,2022-04-03,2026-03-13,Active
488,5209,Basic,2023-07-28,2026-10-11,Active
489,12172,Basic,2024-11-07,,Canceled
490,47821,Basic,2022-12-19,,Canceled
491,43922,Basic,2024-01-10,2025-09-11,Active
492,30162,Basic,2023-10-28,2025-10-04,Active
493,35235,Basic,2023-05-29,2025-09-05,Active
494,45918,Standard,2024-10-21,2026-12-04,Active
495,23559,Standard,2022-07-08,2025-12-02,Active
496,10972,Standard,2024-09-21,2027-01-16,Active
497,43266,Standard,2022-04-08,,Active
498,11765,Basic,2024-05-03,2025-09-03,Active
499,22949,Basic,2023-03-29,2025-09-19,Active
500,4796,Basic,2022-07-07,,Active
501,6261,Standard,2022-05-18,2025-07-22,Canceled
502,6181,Premium,2024-04-26,2025-05-09,Canceled
503,21514,Standard,2022-07-15,2026-01-27,Active
504,42312,Basic,2024-09-18,2025-10-15,Active
505,25434,Basic,2023-03-24,,Canceled
506,699,Standard,2023-06-11,,Canceled
507,19115,Premium,2024-09-08,,Active
508,47416,Basic,2024-09-15,,Active
509,49071,Basic,2023-12-18,2026-02-01,Canceled
510,22130,Basic,2022-07-01,2026-08-29,Active
511,31028,Standard,2022-05-02,2025-05-01,Active
512,20933,Standard,2024-10-09,,Active
513,16971,Basic,2023-05-30,2025-06-07,Active
514,26309,Basic,2022-11-06,2026-02-02,Active
515,27682,Premium,2022-12-14,2025-11-21,Active
516,35199,Basic,2023-06-05,2027-02-16,Active
517,36062,Standard,2024-09-19,2025-12-13,Active
518,27255,Premium,2022-03-27,,Active
519,16984,Premium,2023-04-30,,Canceled
520,12128,Basic,2022-04-22,2026-07-05,Canceled
521,27834,Premium,2024-10-18,,Active
522,28265,Basic,2024-04-04,2026-11-30,Canceled
523,31273,Standard,2023-09-03,2026-04-12,Canceled
524,36842,Basic,2023-10-08,2026-06-10,Active
525,5510,Basic,2022-04-21,2025-06-02,Active
526,40400,Standard,2022-08-15,2026-01-06,Canceled
527,32673,Basic,2024-04-01,,Canceled
528,27327,Standard,2022-07-17,,Active
529,20373,Standard,2022-08-17,,Canceled
530,15724,Basic,2022-04-17,2025-12-26,Active
531,28969,Basic,2023-01-06,2026-03-21,Active
532,10805,Basic,2024-12-09,2025-12-24,Active
533,27328,Standard,2023-10-24,2026-07-01,Active
534,40468,Standard,2023-06-19,2026-05-10,Active
535,20115,Basic,2022-12-18,2025-07-25,Active
536,2780,Standard,2023-09-23,,Canceled
537,35713,Standard,2022-07-17,,Active
538,6957,Premium,2024-12-19,2026-05-10,Active
539,14986,Standard,2024-05-09,,Active
540,24662,Basic,2024-08-20,2026-06-08,Canceled
541,30827,Basic,2022-05-19,,Active
542,47536,Basic,2023-06-04,2025-07-31,Active
543,48867,Basic,2023-12-16,2026-07-17,Active
544,17945,Premium,2024-12-25,2026-11-21,Active
545,39053,Standard,2024-04-16,2026-09-20,Active
546,1455,Standard,2022-11-01,2026-05-29,Active
547,17352,Standard,2023-07-25,,Active
548,7429,Basic,2023-05-14,,Active
549,7545,Basic,2024-05-16,,Active
550,38931,Basic,2024-10-06,2027-03-08,Active
551,43410,Basic,2022-07-24,2026-06-22,Active
552,3096,Basic,2024-12-09,,Canceled
553,14915,Standard,2024-02-13,,Canceled
554,11208,Basic,2024-01-25,2026-07-08,Active
555,11371,Standard,2023-06-08,2025-07-15,Active
556,17682,Basic,2023-10-01,,Active
557,16310,Basic,2023-09-15,2025-07-14,Active
558,11050,Standard,2022-04-25,,Active
559,30436,Basic,2022-03-12,2025-04-24,Active
560,875,Standard,2023-07-23,2026-01-29,Canceled
561,22571,Standard,2023-01-01,2025-05-12,Canceled
562,39165,Basic,2024-06-14,2025-07-04,Active
